brand,env_host,domain,product_id,variant_id
Paprika,drawer.kleep.ai,www.paprika.fr,PF7839-00-001,
Peserico,drawer.kleep.ai,eu.peserico.com,PF7839-00-001,
Petrone,drawer.kleep.ai,petroneparis.fr,33843804,
Place des Tendances,drawer.kleep.ai,placedestendances.com,PF7839-00-001,
Place du Jour,drawer.kleep.ai,placedujour.fr,TH2739-00-BZD,
Project X Paris,drawer.kleep.ai,www.projectxparis.com,4756,
Pyrenex,drawer.kleep.ai,pyrenex.com,PF7839-00-001,
Rabanne,drawer.kleep.ai,rabanne.com,L1212-00-001,
Rat & Boa,drawer.kleep.ai,www.ratandboa.com,15298541027701,
Represent,drawer.kleep.ai,representclo.com,PF7839-00-001,
RobertBarakett,drawer.kleep.ai,robertbarakett.com,PF7839-00-001,
Rodier,drawer.kleep.ai,www.rodier.fr,7PV6199110,
Ron Dorff,drawer.kleep.ai,rondorff.com,TH2739-00-BZD,
Roning,drawer.kleep.ai,ronning.myshopify.com,15825181114755,
SAAJ,drawer.kleep.ai,saajparis.fr,L1212-00-001,
Salt Murphy,drawer.kleep.ai,saltmurphy.com,7863409639647,
Sans Complexe,drawer.kleep.ai,www.sanscomplexe.com,L1212-00-001,
Sessun,drawer.kleep.ai,fr.sessun.com,MIV10890_N0020,
Shape of Key,drawer.kleep.ai,af-fdl.myshopify.com,PF7839-00-001,
Simone Pérèle,drawer.kleep.ai,fr.simone-perele.com,PF7839-00-001,
Soeur,drawer.kleep.ai,www.soeur.fr,L1212-00-001,
Sport 2000,drawer.kleep.ai,www.sport2000.fr,PF7839-00-001,
Sporty & Rich,drawer.kleep.ai,sportyandrich.com,8800324976898,
SRP,drawer.kleep.ai,showroomprive.com,31173507,
Stella & Suzie,drawer.kleep.ai,stellaetsuzie.com,L1212-00-001,
Sud Express,drawer.kleep.ai,www.sudexpress.fr,PF7839-00-001,
TDF,drawer.kleep.ai,www.thedoublef.com,PF7839-00-001,
The Kooples,drawer.kleep.ai,thekooples.com,FFOU17028KBEI79,
Theodore,drawer.kleep.ai,theodore.ae,PF7839-00-001,
Une Jour Ailleurs,drawer.kleep.ai,unjourailleurs.com,PF7839-00-001,
Vanessa WU,drawer.kleep.ai,vanessawu.com,PF7839-00-001,
Velour Garments,drawer.kleep.ai,velourgarments.eu,PF7839-00-001,
Victoria Beckham,drawer.kleep.ai,victoriabeckham.com,L1212-00-001,
Vogstore,drawer.kleep.ai,vogstoree.com,TH2739-00-BZD,
Weill,drawer.kleep.ai,www.weill.com,PF7839-00-001,
Yuxus,drawer.kleep.ai,www.yuxus.com,55916974604633,
Zadig & Voltaire,drawer.kleep.ai,zadig-et-voltaire.com,PF7839-00-001,
